 ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.000584,0.001499,0.005435,0.001559,0.00367,0.00171,0.001519,0.004167,0.001205,0.000676,0.006203,0.010083,0.004855,0.006958,0.00132,0.003316,0.004155,0.008048,0.006986,0.000712,0.000199,0.001213,0.000155,0.001742,0.001006,0.000366,0.0,0.0,0.000366,0.001316,0.003149
б,0.00068,0.0,6.8e-05,0.0,2.8e-05,0.001837,3.6e-05,4e-05,0.00068,0.0,0.000119,0.000823,5.2e-05,0.000394,0.003133,4e-05,0.001256,0.000239,2e-05,0.001352,0.0,7.6e-05,4e-06,4e-06,4e-06,0.000334,0.003034,0.000127,4.8e-05,0.0,0.000644
в,0.00641,0.000103,0.000386,0.000334,0.0006,0.005328,4.8e-05,0.000819,0.003264,0.0,0.000819,0.00128,0.000644,0.001817,0.007431,0.000807,0.001177,0.003821,0.000636,0.001046,1.2e-05,0.000107,5.2e-05,0.00025,0.000648,1.2e-05,0.003125,0.000203,0.000163,0.0,0.000302
г,0.001328,4e-06,3.2e-05,0.0,0.000954,0.000636,4e-06,4e-05,0.000982,0.0,0.000294,0.001726,7.2e-05,0.00033,0.007634,5.6e-05,0.000899,6.4e-05,4.8e-05,0.000759,0.0,3.6e-05,0.0,9.1e-05,4e-06,0.0,0.0,0.0,0.0,0.0,8e-06
д,0.005252,8e-05,0.001054,6e-05,0.000167,0.005845,4e-05,9.5e-05,0.00268,0.0,0.000406,0.001177,0.000119,0.00233,0.004608,0.000227,0.001817,0.000453,0.000378,0.001773,0.0,0.000103,0.000183,5.2e-05,6.8e-05,0.0,0.000823,0.000469,2e-05,0.0,0.000489
е,0.000314,0.00307,0.004056,0.003431,0.004115,0.001686,0.001125,0.002262,0.001169,0.002759,0.00208,0.006378,0.006219,0.01128,0.001841,0.004159,0.00767,0.007499,0.006573,0.000922,0.000191,0.000803,0.000286,0.001567,0.0014,0.000895,0.0,0.0,0.000294,0.000135,0.000529
ж,0.001213,2e-05,2e-05,8e-06,0.000966,0.0046,1.2e-05,4e-06,0.00198,0.0,9.9e-05,4.4e-05,2.4e-05,0.001646,5.2e-05,3.2e-05,4e-06,2.8e-05,2e-05,0.000258,0.0,0.0,0.0,0.000469,0.0,0.0,0.0,8e-06,0.0,0.0,8e-06
з,0.005869,0.000167,0.00099,0.000584,0.001042,0.000541,0.000135,6.4e-05,0.0006,0.0,0.000386,0.00027,0.000588,0.00175,0.000732,0.000171,0.000429,0.000135,0.000135,0.000417,0.0,0.0,4e-06,3.2e-05,4e-06,0.0,0.000421,0.000167,3.2e-05,0.0,0.00033
и,0.000513,0.001113,0.005097,0.000827,0.002398,0.002759,0.000581,0.002592,0.001451,0.000887,0.0034,0.006406,0.003817,0.005829,0.00171,0.002294,0.002974,0.005245,0.005909,0.000537,0.000175,0.001742,0.000688,0.001507,0.001097,0.000163,0.0,0.0,0.001006,0.000266,0.001849
й,0.000123,0.000243,0.000664,0.000163,0.00074,8e-05,0.000151,0.000195,0.000294,0.0,0.000525,0.000151,0.000521,0.002131,0.000457,0.000779,0.000608,0.001034,0.000664,0.000139,4e-05,9.1e-05,4.8e-05,0.000636,0.000179,0.0,0.0,0.0,6.8e-05,1.2e-05,0.000143
к,0.007686,0.000159,0.000628,7.2e-05,0.000258,0.000962,0.000175,0.000147,0.003129,0.0,0.00025,0.000648,0.000298,0.001074,0.008489,0.000469,0.002728,0.000545,0.001205,0.002191,4.8e-05,0.000107,5.2e-05,0.000298,2e-05,4e-06,0.0,0.0,8.7e-05,0.0,0.000123
л,0.011137,0.000127,0.000553,0.000378,0.000147,0.005034,0.00035,0.000151,0.009658,0.0,0.00064,0.000187,0.000557,0.000922,0.006664,0.000453,0.000231,0.00173,0.000163,0.001606,8.7e-05,9.1e-05,4e-06,0.000298,1.6e-05,1.6e-05,0.000692,0.00505,3.2e-05,0.001026,0.001913
м,0.003972,0.00031,0.000748,0.000223,0.000449,0.005161,8.3e-05,0.000266,0.003217,0.0,0.000529,0.000525,0.000505,0.004338,0.006091,0.001054,0.000266,0.000883,0.000374,0.002581,4e-05,7.2e-05,4.8e-05,0.000231,2.8e-05,0.0,0.001419,0.000163,9.5e-05,0.0,0.00101
н,0.01237,0.000111,0.00031,0.000123,0.000278,0.01326,1.2e-05,0.000171,0.008795,0.0,0.000549,8.7e-05,0.000243,0.00301,0.012724,0.00041,0.000258,0.000684,0.000911,0.003972,2.8e-05,0.000282,0.000187,0.000334,0.0,0.000231,0.003583,0.001638,4e-05,0.000139,0.002891
о,0.000227,0.005062,0.009527,0.006111,0.007034,0.002787,0.003054,0.002262,0.002235,0.004008,0.00373,0.007873,0.007606,0.008171,0.001944,0.00429,0.006489,0.009543,0.009666,0.000811,0.000139,0.000887,0.000266,0.003364,0.001356,0.00035,0.0,0.0,0.000477,0.000262,0.001527
п,0.001769,0.0,0.0,0.0,4e-06,0.002266,0.0,0.0,0.00099,0.0,0.000131,0.00105,4e-06,0.000215,0.011857,4e-05,0.008636,4e-06,0.000107,0.000724,0.0,0.0,0.0,8e-06,4e-06,0.0,0.00039,4.4e-05,0.0,0.0,0.000215
р,0.010708,3.2e-05,0.000569,0.000294,0.000676,0.007666,0.000394,0.000147,0.006159,0.0,0.001304,0.000298,0.000183,0.001082,0.009344,0.000171,9.5e-05,0.00027,0.000612,0.002728,4e-06,0.000581,5.6e-05,0.000123,0.000155,1.2e-05,0.00159,0.000509,6.8e-05,0.000127,0.001487
с,0.001889,0.000195,0.001586,0.000147,0.000509,0.00464,7.6e-05,8e-05,0.001785,0.0,0.003066,0.003137,0.001575,0.002032,0.003181,0.002417,0.000414,0.000962,0.01268,0.000811,2.8e-05,0.000239,2.4e-05,0.00041,7.2e-05,0.0,0.000429,0.005058,0.000127,0.000207,0.004692
т,0.006573,0.000151,0.002732,0.000215,0.000417,0.005905,0.000171,0.000187,0.004648,0.0,0.001153,0.000557,0.000406,0.00225,0.01501,0.000759,0.004083,0.001746,0.00039,0.001638,1.2e-05,6.8e-05,5.6e-05,0.000258,6e-05,2.4e-05,0.001873,0.00839,8.3e-05,2.4e-05,0.000736
у,0.000207,0.000569,0.00159,0.001109,0.002266,0.00031,0.002461,0.000386,0.000596,0.000127,0.001268,0.002127,0.00169,0.001121,0.000382,0.001479,0.000903,0.001984,0.002266,0.000147,6.8e-05,0.000489,1.6e-05,0.001388,0.00099,0.000274,0.0,0.0,6.8e-05,0.000986,0.000314
ф,0.000378,0.0,2e-05,0.0,4e-06,0.000481,0.0,1.2e-05,0.000107,0.0,1.6e-05,9.1e-05,4e-06,3.6e-05,0.000183,2.8e-05,8.3e-05,2e-05,2e-05,1.2e-05,1.6e-05,0.0,0.0,0.0,0.0,0.0,3.2e-05,0.0,0.0,0.0,8e-06
х,0.000907,0.000107,0.000493,9.1e-05,0.000155,0.000127,0.000135,8.3e-05,0.000402,0.0,0.000151,0.000239,0.00029,0.000636,0.002815,0.000469,0.000294,0.000453,0.000211,0.000266,1.2e-05,2.4e-05,2.4e-05,4e-05,4.8e-05,0.0,0.0,0.0,1.6e-05,4e-06,7.6e-05
ц,0.000437,0.0,0.000171,0.0,4e-06,0.000692,4e-06,8e-06,0.000346,0.0,1.6e-05,0.0,4e-06,2.4e-05,0.000107,2.8e-05,8e-06,1.6e-05,1.6e-05,0.000151,0.0,0.0,0.0,0.0,0.0,0.0,0.000119,0.0,0.0,0.0,0.0
ч,0.001964,0.0,0.0,0.0,4e-06,0.004195,0.0,0.0,0.002354,0.0,0.000378,1.6e-05,1.2e-05,0.001054,5.2e-05,0.0,4e-06,0.0,0.003646,0.000744,0.0,0.0,0.0,0.0,0.000187,0.0,0.0,0.00033,0.0,0.0,0.0
ш,0.000907,8e-06,1.6e-05,4e-06,0.0,0.002187,0.0,0.0,0.001654,0.0,0.001105,0.000815,2e-05,0.000322,0.000505,2.4e-05,8e-06,1.2e-05,6.8e-05,0.000378,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.000855,0.0,0.0,0.0
щ,0.000461,0.0,0.0,0.0,0.0,0.00196,0.0,0.0,0.000938,0.0,0.0,0.0,0.0,0.000119,0.0,0.0,0.0,0.0,0.0,0.000131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115,0.0,0.0,0.0
ы,6.8e-05,0.000425,0.001531,0.000254,0.00037,0.001264,0.000111,0.000286,0.000266,0.001503,0.000473,0.001849,0.001392,0.000799,0.000394,0.000843,0.000394,0.001388,0.000938,0.000211,1.6e-05,0.001189,1.6e-05,0.000326,0.000581,2.4e-05,0.0,0.0,5.6e-05,0.0,0.000111
ь,0.00029,0.000521,0.001567,0.000227,0.000692,0.00072,8e-05,0.00068,0.001089,0.0,0.002151,0.000322,0.000843,0.0033,0.001002,0.001427,0.000374,0.003078,0.000704,0.00037,0.00029,0.000171,8e-05,0.000827,0.00136,8e-06,0.0,0.0,0.000143,0.00039,0.000895
э,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000755,2.8e-05,0.000123,8e-06,8e-05,0.0,8e-06,1.6e-05,2.4e-05,0.002414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,6e-05,0.000286,0.000258,6.8e-05,0.000596,7.2e-05,6.4e-05,8.3e-05,0.000135,0.0,0.000286,6.4e-05,0.000131,0.000318,0.000203,0.00029,0.000107,0.000441,0.000763,8e-05,1.6e-05,2e-05,0.0,0.000219,2e-05,0.000489,0.0,0.0,5.2e-05,8e-06,6.4e-05
я,0.000207,0.000449,0.002052,0.000382,0.0013,0.000378,0.000437,0.000867,0.000879,5.6e-05,0.000934,0.001567,0.001252,0.002807,0.001062,0.001598,0.000672,0.002159,0.002163,0.000461,8.3e-05,0.000346,4e-05,0.000497,4.4e-05,0.000235,0.0,0.0,0.000195,0.000127,0.000362
